PortID,USACEPortName,USATradePortName
299,"New Castle, DE","New Castle, DE"
122,"New Harbor, ME","New Harbor, ME"
1507,"New Haven, CT","New Haven, CT"
304,"New London, CT","New London, CT"
2288,"New Madrid County, MO, Port of","New Madrid County, MO, Port of"
2296,"New Madrid Harbor, MO","New Madrid Harbor, MO"
2251,"New Orleans, LA","New Orleans, LA"
2019,"New River, FL","New River, FL"
346,"New Rochelle Harbor, NY","New Rochelle Harbor, NY"
388,"New York and New Jersey Channels, NY and NJ","New York and New Jersey Channels, NY and NJ"
385,"New York Harbor, NY and NJ Upper Bay","New York Harbor, NY and NJ Upper Bay"
398,"New York, NY and NJ","New York, NY"
392,"Newark Bay, NJ (Included in NewarK Bay, NJ Consolidated Report and Port of New York)","Newark, NJ"
139,"Newburyport, MA","Newburyport, MA"
4132,"Newport Bay Harbor, CA","Newport Bay Harbor, CA"
736,"Newport News, VA","Newport News, VA"
192,"Newport, RI","Newport, RI"
355,"Newtown Creek, NY","Newtown Creek, NY"
3231,"Niagara Falls, NY","Buffalo-Niagara Falls, NY"
3224,"Niagara River, NY","Niagara River, NY"
83,"Niantic Harbor, CT","Niantic Harbor, CT"
4831,"Nikishka, AK","Nikishka, AK"
4841,"Ninilchik, AK","Ninilchik, AK"
4968,"Nome, AK","Nome, AK"
5735,"Norfolk Harbor, VA","Norfolk-Newport News, VA"
106,"Northeast Harbor, ME","Northeast Harbor, ME"
521,"Northport, NY","Northport, NY"
314,"Norwalk, CT","Norwalk, CT"
4345,"Oakland, CA","Oakland, CA"
450,"Ocean City, MD","Ocean City, MD"
4198,"Oceanside Harbor, CA","Oceanside Harbor, CA"
3790,"Oconto, WI","Oconto, WI"
3008,"Ogdensburg, NY","Ogdensburg, NY"
4933,"Old Harbor, AK","Old Harbor, AK"
4718,"Olympia, WA","Olympia, WA"
3860,"Ontonagon, MI","Ontonagon, MI"
2394,"Orange, TX","Orange, TX"
2297,"Osceola Harbor, AR","Osceola Harbor, AR"
3631,"Oscoda, MI","Oscoda, MI"
3112,"Oswego, NY","Oswego, NY"
2331,"Owensboro, KY","Owensboro, KY"
119,"Owls Head Harbor, ME","Owls Head Harbor, ME"
2409,"Palacios, TX","Palacios, TX"
2162,"Palm Beach, FL","West Palm Beach, FL"
2181,"Panacea, FL","Panacea, FL"
2016,"Panama City, FL","Panama City, FL"
2004,"Pascagoula, MS","Pascagoula, MS"
2207,"Pass Christian, MS","Pass Christian, MS"
394,"Passaic River, NJ","Passaic River, NJ"
5252,"Paulsboro, NJ","Paulsboro, NJ"
4450,"Pearl Harbor, Oahu, HI","Pearl Harbor, Oahu, HI"
502,"Peekskill, NY","Peekskill, NY"
4840,"Pelican, AK","Pelican, AK"
298,"Penn Manor, PA","Penn Manor, PA"
2007,"Pensacola, FL","Pensacola, FL"
3791,"Pensaukee, WI","Pensaukee, WI"
3723,"Pentwater, MI","Pentwater, MI"
4806,"Petersburg, AK","Petersburg, AK"
552,"Philadelphia, PA","Philadelphia, PA"
4386,"Pillar Point Harbor, CA","Pillar Point Harbor, CA"
2358,"Pittsburgh, PA","Pittsburgh, PA"
2255,"Plaquemines, LA, Port of","Plaquemines, LA, Port of"
170,"Plymouth, MA","Plymouth, MA"
198,"Point Judith and Point Judith Pond, RI, Harbor of Refuge","Point Judith and Point Judith Pond, RI, Harbor of Refuge"
2151,"Ponce, PR","Ponce, PR"
4836,"Port Alexander, AK","Port Alexander, AK"
4425,"Port Allen Harbor, Kauai, HI","Port Allen Harbor, Kauai, HI"
4708,"Port Angeles, WA","Port Angeles, WA"
2416,"Port Arthur, TX","Port Arthur, TX"
2396,"Port Bolivar, TX","Port Bolivar, TX"
2160,"Port Canaveral, FL","Port Canaveral, FL"
340,"Port Chester Harbor, NY","Port Chester Harbor, NY"
3205,"Port Clinton, OH","Port Clinton, OH"
3627,"Port Dolomite, MI","Port Dolomite, MI"
2163,"Port Everglades, FL","Port Everglades, FL"
1910,"Port Fourchon, LA","Port Fourchon, LA"
4714,"Port Gamble, WA","Port Gamble, WA"
507,"Port Henry, NY","Port Henry, NY"
4150,"Port Hueneme, CA","Port Hueneme, CA"
3515,"Port Huron, MI","Port Huron, MI"
3803,"Port Inland, MI","Port Inland, MI"
2422,"Port Isabel, TX","Port Isabel, TX"
522,"Port Jefferson, NY","Port Jefferson, NY"
2023,"Port Manatee, FL","Port Manatee, FL"
2421,"Port Mansfield, TX","Port Mansfield, TX"
4688,"Port Orford, OR","Port Orford, OR"
774,"Port Royal, SC","Port Royal, SC"
3634,"Port Sanilac, MI","Port Sanilac, MI"
4710,"Port Townsend, WA","Port Townsend, WA"
3758,"Port Washington, WI","Port Washington, WI"
3921,"Port Wing, WI","Port Wing, WI"
4612,"Portland, Astoria, St. Helens, Longview, Vancouver and Kalama Area, Other Ports","Portland, Astoria, St. Helens, Longview, Vancouver and Kalama Area, Other Ports"
128,"Portland, ME","Portland, ME"
4644,"Portland, OR","Portland, OR"
135,"Portsmouth, NH","Portsmouth, NH"
721,"Potomac River at Lower Cedar Point, MD","Potomac River at Lower Cedar Point, MD"
716,"Potomac River, Virginia Channel, DC","Potomac River, Virginia Channel, DC"
714,"Potomac River, Washington Channel, DC","Potomac River, Washington Channel, DC"
